"World Tourism Organization (2020), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 20/01/2020.",,,,,,,,,,,,,,,,,,,,,,,,,
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:,,,,,,,,,,,,,,,,,,,,,,,,,
http://statistics.unwto.org/method_notes_tourism_stat_database_2019ed,,,,,,,,,,,,,,,,,,,,,,,,,
Compendium of Tourism Statistics - Basic data and indicators,,,,,,,,,,,,,,,,,,,,,,,,,
Series 1.1: Inbound tourism - Arrivals of non-resident visitors (overnight visitors -tourists- and same-day visitors -excursionists-) at national borders - Thousands,,,,,,,,,,,,,,,,,,,,,,,,,
COD.,COUNTRY,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
250,France,..,"148,263","157,551",..,..,..,..,..,..,"190,282","185,829","193,882","193,319","193,571","192,369","189,826","196,595","197,522","204,410","206,599","203,302","203,042","207,274","211,998"
254,French Guiana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
258,French Polynesia,186,184,201,211,236,..,..,..,..,..,..,..,243,227,190,179,196,210,214,228,239,241,254,264
266,Gabon,203,217,247,274,262,230,236,269,234,351,526,..,..,..,..,..,..,..,..,..,..,..,..,..
270,Gambia,..,..,..,..,..,..,..,..,..,459,460,613,487,643,..,..,..,..,..,..,..,..,..,..
268,Georgia,85,117,313,317,384,387,302,298,313,368,560,983,"1,052","1,290","1,500","2,032","2,712","4,106","4,954","5,004","5,256","5,393","6,483","7,203"
280,Germany,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
288,Ghana,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
300,Greece,"10,712","9,782","10,588","11,364","12,606","13,567","14,678","14,918","14,785","14,268","15,938","17,284",..,..,..,..,..,..,"20,112","24,272","26,114","28,071","30,161","33,072"
308,Grenada,369,386,368,392,379,316,277,271,294,370,380,342,406,428,460,445,447,370,327,387,437,474,468,528
